代號,名稱,外資買賣超,投信買賣超,三大法人買賣超
6584,南俊國際,26002,0,40002
6588,東典光電,-211099,0,-211099
6593,台灣銘板,4000,0,4000
6596,寬宏藝術,-43000,0,-41432
6603,富強鑫,236000,0,235855
6609,瀧澤科,70000,0,69581
6612,奈米醫材,1000,0,1000
6613,朋億*,123000,-225,132538
6615,慧智,3,0,3
6617,共信-KY,2000,0,2000
6620,漢達,-4949,0,-4949
6624,萬年清,-3000,0,-3000
6629,泰金-KY,-24000,0,-23960
6637,醫影,0,0,0
6640,均華,110000,2000,134675
6642,富致,-3000,0,-3000
6643,M31,106000,-5000,160422
6649,台生材,-40998,0,-41115
6651,全宇昕,-20000,0,-20000
6654,天正國際,5000,0,5000
6662,樂斯科,-2000,0,-2000
6664,群翊,-344000,0,-351284
6667,信紘科,5000,0,3802
6679,鈺太,46000,0,80885
6683,雍智科技,-351622,199000,-181028
6684,安格,61999,0,62134
6690,安碁資訊,25000,0,25000
6692,進能服,3000,0,3000
6693,廣閎科,36000,0,34547
6697,東捷資訊,4000,0,4000
6703,軒郁,16000,0,16000
6708,天擎,3000,0,3000
6712,長聖,-64925,0,-65009
6716,應廣,-97000,0,-96447
6720,久昌,-32000,0,-31788
6721,信實,1000,0,1000
6725,矽科宏晟,1000,0,-9352
6727,亞泰金屬,-16202,0,-15202
6728,上洋,4000,0,4000
6730,常廣,2000,0,2000
6732,昇佳電子,22000,0,21801
6733,博晟生醫,75000,0,74183
6735,美達科技,-23000,0,-22212
6739,竹陞科技,-21000,0,-9937
6741,91APP*-KY,-67000,0,-69000
6751,智聯服務,-1000,0,-1000
6752,叡揚,7000,0,7000
6761,穩得,112755,0,184360
6763,綠界科技*,69000,0,70002
6785,昱展新藥,-182000,0,-181724
6788,華景電,73940,0,102834
6791,虎門科技,-1000,0,-1000
6803,崑鼎,-9000,0,-9000
6811,宏碁資訊,29000,0,28887
6821,聯寶,-2900,0,-2370
6823,濾能,-32000,0,-32000
6829,千附精密,52000,0,58086
6840,東研信超,9000,0,9000
6841,長佳智能,15000,0,14995
6843,進典,-1000,0,-2000
6859,伯特光,-3000,0,-3000
6865,偉康科技,-8000,0,-9000
6870,騰雲,7000,0,7000
6872,浩宇生醫,8000,0,8000
6874,倍力,13000,0,13000
6875,國邑*,2000,0,1973
6877,鏵友益,14000,0,238395
6881,潤德,0,0,0
6894,衛司特,3000,0,3945
6895,宏碩系統,-13000,0,-11842
6899,創為精密,-15000,0,-15000
6903,巨漢,291020,0,321134
6904,伯鑫,0,0,-1000
6907,雅特力-KY,-44000,0,-44000
6910,德鴻,31000,0,31000
6913,鴻呈,-78000,0,-92993
6922,宸曜,0,0,364
6925,意藍,13000,0,13010
6953,家碩,16000,0,15000
6961,旅天下,24000,0,24000
6967,汎瑋材料,8000,0,6000
6968,萬達寵物,6000,0,6000
6982,大井泵浦,-3000,0,-3000
6996,力領科技,27000,0,27010
7402,邑錡,0,0,-3502
7547,碩網,-21000,0,-21052
7556,意德士,33817,0,37828
7584,樂意,1000,0,1000
7642,昶瑞機電,0,0,177
7703,銳澤,27000,0,26635
7704,明遠精密,-7000,0,-7000
7709,榮田,26000,0,28029
